passenger_id,pclass,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest,survived
898,3rd Class,"Johnson, Mr. William Cahoone Jr",male,19.0,0,0,LINE,0.0,,S,,,,Died
150,1st Class,"Harrison, Mr. William",male,40.0,0,0,112059,0.0,B94,S,,110.0,,Died
170,1st Class,"Ismay, Mr. Joseph Bruce",male,49.0,0,0,112058,0.0,B52 B54 B56,S,C,,Liverpool,Survived
70,1st Class,"Chisholm, Mr. Roderick Robert Crispin",male,,0,0,112051,0.0,,S,,,"Liverpool, England / Belfast",Died
896,3rd Class,"Johnson, Mr. Alfred",male,49.0,0,0,LINE,0.0,,S,,,,Died
223,1st Class,"Parr, Mr. William Henry Marsh",male,,0,0,112052,0.0,,S,,,Belfast,Died
234,1st Class,"Reuchlin, Jonkheer. John George",male,38.0,0,0,19972,0.0,,S,,,"Rotterdam, Netherlands",Died
125,1st Class,"Fry, Mr. Richard",male,,0,0,112058,0.0,B102,S,,,,Died
963,3rd Class,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,0.0,,S,,,,Died
410,2nd Class,"Frost, Mr. Anthony Wood ""Archie""",male,,0,0,239854,0.0,,S,,,Belfast,Died
473,2nd Class,"Knight, Mr. Robert J",male,,0,0,239855,0.0,,S,,,Belfast,Died
